page,explicit_header,header_score,header_score_reasons,page_topic,opening_segments
9,Off-balance sheet transactions,5,first segment is heading-like; contains section vocabulary; contains no digits,,Off-balance sheet transactions | Off-balance sheet (CHF thousands) | Note | 31.12.2025 | 31.12.2024 | Change | Absolute | %
15,Accounting principles,4,first segment is heading-like; contains section vocabulary; contains no digits; very short heading candidate,,"Accounting principles | Basic principles | The annual accounts are prepared in accordance with the act and ordinance on banks and investment firms (Banking Act, Bank Ordinance) and applicable provisions of the Law on Persons and Companies (PGR). LGT Bank Ltd. publishes its financial statements in thousands of Swiss francs (CHF thousands) unless otherwise stated. | Due to rounding, the numbers presented in this report may not always add up precisely to the totals in the tables and text. | Consolidation | LGT Bank Ltd. does not prepare consolidated accounts because the ultimate parent company, LGT Group Foundation, is subject to the Banking Act and prepares annual accounts at Group level. The consolidated accounts are available in the offices of LGT Marketing & Communications located at LGT Bank Ltd., Herrengasse 12, FL-9490 Vaduz, and can be accessed on the internet at www.lgt.com. | Corporate Sustainability Reporting (CSRD) | LGT Bank is exempt from the requirements to publish a sustainability report under Art. 1096c paragraph 1), Art. 1096d and 1096e PGR because its ultimate parent company, LGT Group Foundation, Herrengasse 12, FL-9490 Vaduz has prepared its full sustainability report in accordance with the Corporate Sustainability Reporting Directive (CSRD) and published it within the consolidated annual report in accordance with Art. 1096c paragraph 1) PGR, available at lgt.com/global-en/publications/reports."
20,Details on the balance sheet,7,first segment is heading-like; followed by a numbered topic; contains section vocabulary; contains no digits; page is table-dense,,Details on the balance sheet | 1 Overview of collateral (CHF thousands) | Mortgage- | backed | Other | collateral | Without | collateral
34,Breakdown of balance sheet according to currencies,4,first segment is heading-like; contains section vocabulary; contains no digits; page is table-dense,,Breakdown of balance sheet according to currencies | (CHF thousands) | CHF | EUR | USD | Other | 31.12.2024 | Total
36,Details on the off-balance sheet transactions,8,first segment is heading-like; followed by a numbered topic; contains section vocabulary; contains no digits,,Details on the off-balance sheet transactions | 27 Contingent liabilities (CHF thousands) | 31.12.2025 | 31.12.2024 | Credit guarantees and similar instruments | 502 113 | 459 388 | of which for affiliated companies
38,Details on the income statement,8,first segment is heading-like; followed by a numbered topic; contains section vocabulary; contains no digits,,Details on the income statement | 31 Offsetting of refinancing expenses with income from trading | The refinancing expenses arising from trading positions are not offset against income from trading activities. | 32 Interest income from fixed interest securities (CHF thousands) | 2025 | 2024 | Interest income from bonds | 147 648
40,Additional information,5,first segment is heading-like; followed by a separate number and topic; contains no digits; very short heading candidate,,Additional information | 40 | Securities negotiable on the stock exchange (CHF thousands) | 31.12.2025 | 31.12.2024 | Bonds and other fixed interest-bearing securities | 6 012 248 | 5 576 217
46,"For further information on provisions for other business risks, refer to the following pages of the notes to the financial statements:",5,first segment is heading-like; contains section vocabulary; contains no digits,,"For further information on provisions for other business risks, refer to the following pages of the notes to the financial statements: | − Page 17: Accounting principles: Value adjustments and provisions | − Page 24: Details on the balance sheet: 13 Value adjustments and provisions | Other Information | The Board of Directors is responsible for the other information in the annual report. The other information comprises that information included in the annual report, but does not include the financial statements, the management report and our auditor's reports thereon. | Our opinion on the financial statements does not cover the other information, and we do not express any form of assurance conclusion thereon. | In connection with our audit, we have the responsibility to read the other information and to consider whether the other information is materially inconsistent with the financial statements or our knowledge obtained in the audit, or otherwise appears to be materially misstated. | If, on the basis of our work we have performed, we conclude that there is a material misstatement of this other information, we are required to report that fact. We have nothing to report in this regard."
